Draft,Year,Rnd,DT,OvPck,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
janreg,1974,1,1rg,9,9,Angels,N,,Larry Howser,SS,,,,,,,,,,,,,JC,State College of Florida, Manatee-Sarasota (Bradenton, FL)
janreg,1974,2,1rg,32,8,Angels,Y,,Pat Cristelli,RHP,,,,,,,,,,,,,4Yr,University of Puget Sound (Tacoma, WA)
janreg,1974,3,1rg,54,7,Angels,N,,Owen Prather,LHP,,,,,,,,,,,,,JC,Cypress College (Cypress, CA)
janreg,1974,4,1rg,75,7,Angels,N,,Steve Hammond,OF,-0.3,46,126,1,.230,.561,,,,,,,JC,Gulf Coast State College (Panama City, FL)
janreg,1974,5,1rg,93,6,Angels,N,,Edward Nuss,RHP,,,,,,,,,,,,,JC,Valencia Community College (Orlando, FL)
janreg,1974,6,1rg,108,4,Angels,Y,,Francis Panick,RHP,,,,,,,,,,,,,4Yr,University of California, Los Angeles (Los Angeles, CA)
janreg,1974,7,1rg,122,4,Angels,N,,William Sundquist,1B,,,,,,,,,,,,,JC,College of the Redwoods (Eureka, CA)
janreg,1974,8,1rg,135,3,Angels,N,,James Davis,RHP,,,,,,,,,,,,,JC,Long Beach City College (Long Beach, CA)
janreg,1974,9,1rg,147,3,Angels,N,,Scott McGlamory,RHP,,,,,,,,,,,,,JC,Gulf Coast State College (Panama City, FL)
janreg,1974,10,1rg,157,3,Angels,Y,,David Drevnak,OF,,,,,,,,,,,,,JC,Gulf Coast State College (Panama City, FL)
janreg,1974,11,1rg,165,3,Angels,N,,Mike Holt,RHP,,,,,,,,,,,,,JC,College of the Canyons (Santa Clarita, CA)
janreg,1974,12,1rg,171,3,Angels,N,,Gary Wilburn,C,,,,,,,,,,,,,JC,Riverside Community College (Riverside, CA)
janreg,1974,13,1rg,176,2,Angels,N,,Keith Ulrich,LHP,,,,,,,,,,,,,JC,El Camino College (Torrance, CA)
janreg,1974,14,1rg,179,1,Angels,Y,,Juan Delgado,1B,,,,,,,,,,,,,JC,San Bernardino Valley College (San Bernardino, CA)
janreg,1974,15,1rg,182,1,Angels,N,,Steve Fenoglio,OF,,,,,,,,,,,,,JC,Long Beach City College (Long Beach, CA)
