player_id,game_id,team_id,fga,fgm,3pa,3pm,fta,ftm,points,off_rebounds,def_rebounds,assists,turnovers,blocks,steals,fouls
203497,0011600008,1610612762,8,3,0,0,4,7,10,7,6,1,1,0,0,0
203918,0011600008,1610612762,9,3,1,3,1,1,8,0,2,2,2,0,1,1
201588,0011600008,1610612762,5,2,0,0,0,0,4,0,3,2,2,0,0,2
2207,0011600008,1610612762,5,1,0,0,0,0,2,0,2,1,2,0,0,0
2564,0011600008,1610612762,2,0,0,0,0,0,0,0,0,1,1,0,0,3
203957,0011600008,1610612762,5,2,2,3,0,0,6,0,3,2,1,0,0,2
1626168,0011600008,1610612762,7,3,2,4,1,2,9,0,4,1,2,0,0,3
204060,0011600008,1610612762,2,1,0,1,2,2,4,1,1,1,0,0,4,0
202714,0011600008,1610612762,5,2,0,1,0,0,4,0,0,4,2,0,0,0
203481,0011600008,1610612762,0,0,0,0,0,0,0,0,3,0,1,0,0,0
203526,0011600008,1610612762,5,2,0,1,2,2,6,1,1,0,2,0,0,1
1627762,0011600008,1610612762,1,1,0,0,0,0,2,1,2,0,0,0,0,0
203187,0011600008,1610612762,0,0,0,0,1,2,1,0,0,1,0,0,0,0
1627779,0011600008,1610612762,1,1,0,0,0,0,2,0,0,0,0,0,0,1
202692,0011600008,1610612762,,,,,,,,,,,,,,
201286,0011600008,1610612762,,,,,,,,,,,,,,
1627880,0011600008,1610612762,,,,,,,,,,,,,,
203156,0011600008,1610612762,,,,,,,,,,,,,,
203090,0011600008,1610612757,6,4,2,4,0,0,10,0,2,0,0,1,3,3
202329,0011600008,1610612757,8,2,0,5,1,3,5,0,2,2,0,0,1,0
203486,0011600008,1610612757,2,2,0,0,0,0,4,1,5,2,1,2,3,1
203468,0011600008,1610612757,14,5,1,4,0,0,11,0,1,5,1,0,1,3
203081,0011600008,1610612757,12,6,1,4,3,3,16,0,1,5,2,0,0,1
202323,0011600008,1610612757,8,3,1,3,0,0,7,0,3,3,4,0,1,1
203459,0011600008,1610612757,9,6,2,3,1,1,15,0,2,4,0,0,1,2
202334,0011600008,1610612757,1,0,0,0,2,4,2,0,7,0,2,2,1,3
203511,0011600008,1610612757,3,3,2,2,1,1,9,0,2,0,0,0,0,1
203894,0011600008,1610612757,6,4,2,3,1,2,11,0,2,1,1,0,1,0
201880,0011600008,1610612757,2,0,0,0,2,2,2,1,3,0,0,0,0,5
1626192,0011600008,1610612757,5,1,1,5,0,0,3,0,2,1,0,2,0,0
